🕘️更新时间,#genre#
2026-03-09 12:12:15,http://migu.shanhaiguanwu.top:443/608807420

📺央视频道,#genre#
CCTV-1,http://migu.shanhaiguanwu.top:443/608807420
CCTV-1,http://www.lnlee.top:65535/udp/239.81.0.102:4056
CCTV-2,http://migu.shanhaiguanwu.top:443/631780532
CCTV-2,http://www.lnlee.top:65535/udp/239.81.0.115:4056
CCTV-3,http://migu.shanhaiguanwu.top:443/624878271
CCTV-3,http://www.lnlee.top:65535/udp/239.81.0.231:4056
CCTV-3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-4,http://migu.shanhaiguanwu.top:443/631780421
CCTV-4,http://www.lnlee.top:65535/udp/239.81.0.96:4056
CCTV-5,http://migu.shanhaiguanwu.top:443/641886683
CCTV-5,http://www.lnlee.top:65535/udp/239.81.0.232:4056
CCTV-5+,http://migu.shanhaiguanwu.top:443/641886773
CCTV-5+,http://www.lnlee.top:65535/udp/239.81.0.101:4056
CCTV-6,http://migu.shanhaiguanwu.top:443/624878396
CCTV-6,http://www.lnlee.top:65535/udp/239.81.0.233:4056
CCTV-9,http://www.lnlee.top:65535/udp/239.81.0.117:4056
CCTV-9,http://migu.shanhaiguanwu.top:443/673168140
CCTV-10,http://migu.shanhaiguanwu.top:443/624878405
CCTV-11,http://migu.shanhaiguanwu.top:443/667987558
CCTV-12,http://migu.shanhaiguanwu.top:443/673168185
CCTV-12,http://www.lnlee.top:65535/udp/239.81.0.119:4056
CCTV-13,http://migu.shanhaiguanwu.top:443/608807423
CCTV-14,http://migu.shanhaiguanwu.top:443/624878440
CCTV-15,http://migu.shanhaiguanwu.top:443/673168223
CCTV-16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV-17,http://migu.shanhaiguanwu.top:443/673168256
CETV-2,http://www.lnlee.top:65535/udp/239.81.0.245:4056

📡卫视频道,#genre#
广东卫视,http://migu.shanhaiguanwu.top:443/608831231
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/Y2RuZXhfaWQ9YWxfaGxzX2xkdnQmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
北京卫视,http://migu.shanhaiguanwu.top:443/630287636
湖北卫视,http://migu.shanhaiguanwu.top:443/947472496
湖北卫视,http://www.lnlee.top:65535/udp/239.81.0.112:4056
东方卫视,http://www.lnlee.top:65535/udp/239.81.0.111:4056
东方卫视,http://migu.shanhaiguanwu.top:443/651632648
东南卫视,http://www.lnlee.top:65535/udp/239.81.0.215:4056
甘肃卫视,http://www.lnlee.top:65535/udp/239.81.0.207:4056
广西卫视,http://www.lnlee.top:65535/udp/239.81.0.107:4056
贵州卫视,http://www.lnlee.top:65535/udp/239.81.0.95:4056
海南卫视,http://www.lnlee.top:65535/udp/239.81.0.48:4056
河南卫视,http://www.lnlee.top:65535/udp/239.81.0.44:4056
陕西卫视,http://migu.shanhaiguanwu.top:443/738910838
天津卫视,http://www.lnlee.top:65535/udp/239.81.0.113:4056
西藏卫视,http://www.lnlee.top:65535/udp/239.81.0.55:4056
新疆卫视,http://www.lnlee.top:65535/udp/239.81.0.46:4056
云南卫视,http://www.lnlee.top:65535/udp/239.81.0.45:4056

☘️广东频道,#genre#
大湾区卫视,http://www.lnlee.top:65535/udp/239.81.0.32:4056
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
